RadiationAmt,,Rank,,Sum,,Count,,Max,,Min,,STD Deviation,,Average
155,,24,,5966,,40,,188,,114,,14.98469304,,149.15
142,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
